blue,green,red,ndwi,brightness,label,source_file
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
0.20806496,0.3127097,0.2536192,0.104339354,0.2581313,0,GSL_1999_08.tif
0.18433104,0.27594742,0.21453445,0.12520921,0.22493763,0,GSL_1999_08.tif
0.1812793,0.27805457,0.22458246,0.10638292,0.2279721,0,GSL_1999_08.tif
0.18114662,0.2797102,0.23216975,0.09287405,0.23100884,0,GSL_1999_08.tif
0.1724392,0.26386893,0.23024218,0.0680549,0.22218345,0,GSL_1999_08.tif
0.19473018,0.29442263,0.24115145,0.09946537,0.24343474,0,GSL_1999_08.tif
0.19028525,0.3048455,0.25349617,0.091967426,0.24954231,0,GSL_1999_08.tif
0.18330273,0.28791302,0.23590188,0.09929279,0.2357059,0,GSL_1999_08.tif
0.17190847,0.26672864,0.22187565,0.09179799,0.22017093,0,GSL_1999_08.tif
0.1500653,0.22706902,0.19214171,0.083316624,0.18975867,0,GSL_1999_08.tif
0.16879039,0.26142314,0.22306502,0.0791723,0.2177595,0,GSL_1999_08.tif
0.17126164,0.27052903,0.2273303,0.08676878,0.22304033,0,GSL_1999_08.tif
0.19187747,0.30194816,0.24713926,0.099817984,0.2469883,0,GSL_1999_08.tif
0.17373288,0.26853475,0.22892977,0.07961351,0.22373247,0,GSL_1999_08.tif
0.17224018,0.26861003,0.23073432,0.07585073,0.22386152,0,GSL_1999_08.tif
0.14805846,0.22823548,0.18541569,0.10351643,0.18723655,0,GSL_1999_08.tif
0.15585366,0.24366285,0.20054923,0.097056165,0.20002191,0,GSL_1999_08.tif
0.17396508,0.27316296,0.226346,0.09372577,0.22449136,0,GSL_1999_08.tif
0.18088125,0.27602267,0.23048824,0.08989804,0.22913073,0,GSL_1999_08.tif
0.17000113,0.26093397,0.22380324,0.076599546,0.21824612,0,GSL_1999_08.tif
0.1469638,0.2175116,0.18160154,0.0899744,0.18202563,0,GSL_1999_08.tif
0.175889,0.27414128,0.23065229,0.08615186,0.2268942,0,GSL_1999_08.tif
0.16243812,0.24656019,0.20838259,0.08391717,0.20579362,0,GSL_1999_08.tif
0.15018141,0.22571443,0.19759634,0.066424064,0.19116406,0,GSL_1999_08.tif
0.16414644,0.24836631,0.20977701,0.084229566,0.20742993,0,GSL_1999_08.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
0.9667112,0.9045757,0.94007045,-0.019242024,0.9371192,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_10.tif
0.9369161,0.91006255,0.68886966,0.13833779,0.8452828,0,GSL_1994_10.tif
0.9269216,0.9132602,0.7412573,0.1039595,0.86047965,0,GSL_1994_10.tif
1.0,1.0,0.7659622,0.13252701,0.92198735,0,GSL_1994_10.tif
0.9026895,0.8614074,0.6260799,0.1582046,0.7967256,0,GSL_1994_10.tif
0.9624997,0.9301569,0.70237553,0.13952631,0.8650107,0,GSL_1994_10.tif
0.263267,0.18339197,0.20103694,-0.045899056,0.21589863,0,GSL_2022_02.tif
0.29483068,0.20862289,0.21269973,-0.009676264,0.23871775,0,GSL_2022_02.tif
0.2567585,0.18145114,0.20213462,-0.05392126,0.21344809,0,GSL_2022_02.tif
0.23801604,0.16265564,0.18214785,-0.05653119,0.19427317,0,GSL_2022_02.tif
0.22490121,0.15959115,0.18228504,-0.066380225,0.1889258,0,GSL_2022_02.tif
0.27290738,0.19636495,0.20593074,-0.023777936,0.22506769,0,GSL_2022_02.tif
0.25044578,0.18257478,0.20007649,-0.0457379,0.21103235,0,GSL_2022_02.tif
0.23997349,0.16806956,0.18992302,-0.06104428,0.19932203,0,GSL_2022_02.tif
0.22181825,0.15274714,0.18278815,-0.089531325,0.18578452,0,GSL_2022_02.tif
0.24188198,0.16715021,0.1900145,-0.06401589,0.19968224,0,GSL_2022_02.tif
0.2578596,0.17971459,0.19888735,-0.050640803,0.21215384,0,GSL_2022_02.tif
0.25147343,0.17348348,0.19358192,-0.054754253,0.20617962,0,GSL_2022_02.tif
